ID;name;SMILES;Kd_1;dKd_1;DH_1;dDH_1;Kd_2;dKd_2;DH_2;dDH_2;TDS;dTDS;n;Ka_1;dKa_1;Ka_2;dKa_2;Ka;dKa;DH;dDH;DG;dDG
clip-g1;4-azaniumylbutylammonium;[NH3+]CCCC[NH3+];3.42e-05;3.29e-06;-6.03;0.26;2.96e-05;7.7e-06;-6.14;0.696;0.0;0.8;0.862;29239.76608187135;2812.831298519203;33783.78378378378;8788.349159970781;31000.0;9000.0;-6.1;0.8;-6.1;0.2
clip-g2;5-azaniumylpentylammonium;[NH3+]CCCCC[NH3+];7.49e-07;1.77e-08;-8.58;0.021;8.29e-07;4.08e-08;-8.95;0.053;-0.4;0.3;1.0005000000000002;1335113.4846461948;31550.745898848658;1206272.6176115803;59367.82002237933;1270000.0;80000.0;-8.8;0.3;-8.32;0.04
clip-g3;6-azaniumylhexylammonium;[NH3+]CCCCCC[NH3+];4.35e-08;3.39e-09;-10.8;0.044;4.13e-08;3.24e-09;-10.9;0.043;-0.8;0.3;0.9025;22988505.747126438;1791518.0340864053;24213075.06053269;1899524.5325938475;24000000.0;3000000.0;-10.9;0.3;-10.05;0.07
clip-g15;trimethyl-[6-(trimethylammonio)hexyl]ammonium;C[N+](C)(C)CCCCCC[N+](C)(C)C;1.83e-08;1e-09;-12.8;0.033;2e-08;8.74e-10;-12.7;0.028;-2.2;0.4;0.9685;54644808.743169405;2986055.1225775634;50000000.0;2184999.9999999995;52000000.0;4000000.0;-12.8;0.4;-10.52;0.05
clip-g12;hexyl(trimethyl)ammonium;CCCCCC[N+](C)(C)C;8.3e-07;2.33e-08;-8.54;0.027;8.27e-07;3.1e-08;-8.25;0.034;-0.1;0.3;0.9385;1204819.2771084337;33822.03512846567;1209189.8428053204;45326.34235425023;1210000.0;70000.0;-8.4;0.3;-8.29;0.03
clip-g5;8-azaniumyloctylammonium;[NH3+]CCCCCCCC[NH3+];7.07e-09;1.13e-09;-11.5;0.094;6.63e-09;8.99e-10;-11.3;0.07;-0.3;0.4;0.8935;141442715.70014146;22606827.261833075;150829562.59426847;20451851.70018814;150000000.0;30000000.0;-11.4;0.4;-11.1;0.1
clip-g16;10-azaniumyldecylammonium;[NH3+]CCCCCCCCCC[NH3+];3.55e-09;7.8e-10;-11.3;0.068;3.27e-09;8.48e-10;-11.2;0.072;0.3;0.4;0.8905000000000001;281690140.8450704;61892481.65046618;305810397.5535168;79304959.36556032;300000000.0;100000000.0;-11.2;0.4;-11.5;0.2
clip-g17;12-azaniumyldodecylammonium;[NH3+]CCCCCCCCCCCC[NH3+];1.97e-09;1.06e-09;-10.4;0.123;2.2e-09;5.76e-10;-10.4;0.064;1.4;0.5;0.9735;507614213.19796956;273132520.8070293;454545454.54545456;119008264.46280992;500000000.0;300000000.0;-10.4;0.3;-11.8;0.4
clip-g9;1-adamantylammonium;[NH3+]C1(C2)C[C@H]3C[C@@H]2C[C@@H](C1)C3;2.8e-06;1.13e-07;-4.83;0.036;2.79e-06;1.62e-07;-4.72;0.046;2.8;0.2;0.9495;357142.85714285716;14413.265306122452;358422.93906810036;20811.65452653486;360000.0;30000.0;-4.8;0.2;-7.57;0.05
clip-g6;1-adamantyl(trimethyl)ammonium;C[N+](C1(C2)C[C@H]3C[C@@H]2C[C@@H](C1)C3)(C)C;8.83e-08;9.44e-09;-10.1;0.119;9.7e-08;1.36e-08;-10.3;0.165;-0.6;0.4;0.831;11325028.31257078;1210739.1536882014;10309278.350515464;1445424.593474333;11000000.0;2000000.0;-10.2;0.4;-9.6;0.1
