sid,file_name
33,PHIP2_PL_stage1_submission_random.txt
35,PHIP2_submission_6dMrcUw.txt
36,PHIP2_JJL_ETH.txt
37,PHIP2_UPF.txt
38,PHIP2_stage1_submission_tokyotech_tsushima.txt
39,PHIP2_UPF_null1.txt
40,PHIP2.txt
41,PHIP2_AosgOsG.txt
42,PHIP2_R8TGCLy.txt
43,PHIP2_phvAqGX.txt
44,PHIP2_BL_submission03_RANKED.txt
45,PHIP2_BL_submission01.txt
46,PHIP2_BL_submission02.txt
47,PHIP2_BL_submission04.txt
48,PHIP2_BL_submission05.txt
49,PHIP2_BL_submission06.txt
50,PHIP2_BL_submission07.txt
51,PHIP2_BL_submission08.txt
52,PHIP2_stage1_submission_Iorga_docking_1.txt
53,PHIP2_stage1_submission_Iorga_docking_2.txt
54,PHIP2_stage1_submission_Iorga_docking_3.txt
55,PHIP2_1TtYwi6.txt
56,PHIP2_stage1_submission_template.txt
64,PHIP2_2_poses.tar_ajlVvr5.gz
65,PHIP2_YU.tar.gz
66,PHIP2_YU2.tar.gz
67,PHIP2_2_ranDock46.tar.gz
68,PHIP2_2_averageKdeepBindscope.tar.gz
69,PHIP2_2_bindscope.tar.gz
70,PHIP2_2_jackpot.tar.gz
71,PHIP2_2_kdeep.tar.gz
72,PHIP2_2_rDock46.tar.gz
73,PHIP2_2_ske_ske.tar.gz
74,PHIP2_2_ske_rdock.tar.gz
75,PHIP2_2_rDeep46.tar.gz
76,PHIP2_2_IFP_IE46.tar.gz
77,PHIP2_mms.tar.gz
78,PHIP2_2_cryptoscout.tar.gz
79,PHIP2_2_poses_souyakuchan.tar.gz
80,PHIP2_stage2_submission_Iorga_pose_prediction_1.tar.gz
82,PHIP2_YU.txt
85,PHIP2_2-description_3orAHZ7.txt
86,PHIP2_stage3_submission_Iorga.txt
87,PHIP2_stage3_submission_souyakuchan.txt
